claim_id,claim,evidence_category,source_phase,source_artifact,source_locator,exact_reproduction_command,applicable_caveat
C01,"The official archives contain 44 15-minute CSV members with 1,300,995 source rows and 5 daily CSV members with 15,070 source rows.",observed data,Phase 2,data/provenance/cleveland_corral_archive_inventory.csv,grouped by product_type,./.venv/Scripts/python.exe ./scripts/build_phase2_interim.py; ./.venv/Scripts/python.exe ./scripts/verify_phase2_data.py,"Archive rows are station rows, not independent sensor observations."
C02,"The official sensor inventory contains 30 IDs and documents gaps, cumulative resets, replacements, relocations, logger-phase differences, range concerns, and unresolved metadata that constrain interpretation.",observed data,Phases 1–2,data/provenance/cleveland_corral_sensor_inventory.csv,all rows; maintenance and unresolved-fields columns,./.venv/Scripts/python.exe -m pytest tests/test_metadata_inventory.py tests/test_phase2_validation.py,Metadata identify concerns but do not prove that flagged readings are invalid.
C03,"Daily pressure and toe-moisture levels are strongly persistent: representative lag-1 ACF values are 0.979 for mid_P1, 0.990 for mid_P2, and 0.987 for toe_M1_A.",statistical inference,Phase 3,reports/tables/phase3/acf_pacf_diagnostics.csv,"lag_days=1, daily_level, longest representative run",./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,ACF values are segment-specific and do not establish a physical mechanism.
C04,"A 365-day robust STL description gives seasonal-strength values of 0.51 for mid_P1, 0.61 for mid_P2, 0.95 for toe_M1_A, and 0.61 for toe_P7_B.",statistical inference,Phase 3,reports/tables/phase3/decomposition_diagnostics.csv,"daily_level, seasonal_period_days=365",./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,"STL is descriptive, limited to exact contiguous runs, and does not identify causes."
C05,"Using daily interval rain and cautious AR(1) prewhitening, rain leads mid_P1 and mid_P2 changes by one day with correlations 0.273 and 0.172, respectively.",statistical inference,Phase 3,reports/tables/phase3/daily_lag_summary.csv,middle stable window; prewhitened; 15-minute interval-sum rain,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,Intervals are conditional on the selected peak and do not correct for searching 31 lags.
C06,"In the long pre-topple toe window, prewhitened rain associations peak on the same day for toe_M1_A (0.337) and toe_P7_B (0.272).",statistical inference,Phase 3,reports/tables/phase3/daily_lag_summary.csv,toe long window; prewhitened; 15-minute interval-sum rain,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,The moisture scale is official and unitless; its installation depth is undocumented.
C07,The long pre-topple toe rain-to-displacement-change association peaks at two days with a prewhitened correlation of 0.155.,statistical inference,Phase 3,reports/tables/phase3/daily_lag_summary.csv,toe long window; mid_R to toe_E5_C; prewhitened interval rain,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,"This is a modest observational association, not a causal delay or warning threshold."
C08,The corresponding middle rain-to-displacement result is weak: the prewhitened lag-zero correlation is 0.077.,statistical inference,Phase 3,reports/tables/phase3/daily_lag_summary.csv,middle stable window; mid_R to mid_E2_B; prewhitened interval rain,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,The selected peak is weak and does not support a general middle-site lag.
C09,Naive cumulative-level rain/displacement correlations of 0.603 at the middle and 0.661 at the toe shrink to 0.077 and 0.155 after valid differencing and prewhitening.,statistical inference,Phase 3,reports/tables/phase3/daily_lag_summary.csv,naive_levels versus prewhitened interval-rain rows,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,Different transformations answer different questions; the comparison demonstrates confounding by accumulation and persistence.
C10,"Across three rain-selected storms, eight-minute-tolerance peak lags span 0.00–11.50 hours for toe pressure and 2.25–43.75 hours for toe displacement.",statistical inference,Phase 3,reports/tables/phase3/event_alignment_sensitivity.csv,tolerance_minutes=8; toe_P7_B and toe_E5_C,./.venv/Scripts/python.exe ./scripts/build_phase3_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase3_outputs.py,Only three rain-selected events were analyzed and peak signs also vary.
C11,"Zero change, tied numerically with the expanding median, has the lowest later MAE for both displacement targets at all three tested horizons.",statistical inference,Phase 4,reports/tables/phase4/validation_metrics.csv,evaluation rows; zero_change versus expanding_median; six target/horizon combinations,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,"This is a sparse-origin MAE result, not evidence that physical movement is always zero."
C12,"For all five nonzero frozen retained models, paired 95% moving-block intervals for model-minus-zero MAE are wholly above zero and therefore favor zero change.",statistical inference,Phase 4,reports/tables/phase4/forecast_comparison_uncertainty.csv,evaluation rows joined to nonzero retained models,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,The intervals are design-specific and do not prove that dynamic models can never help elsewhere.
C13,The long-window rain-conditioned ARIMAX has later MAE 0.179 versus 0.114 for zero change at one day and 0.211 versus 0.157 at two days.,statistical inference,Phase 4,reports/tables/phase4/validation_metrics.csv,toe long-window evaluation; ARIMAX and zero-change rows,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,ARIMAX is unavailable at seven days because future rain would be required.
C14,"The short post-rain-resume check contains only 25–26 successful origins per horizon, although its best observed MAE values are 0.184, 0.212, and 0.213 at one, two, and seven days.",statistical inference,Phase 4,reports/tables/phase4/validation_metrics.csv,external_time_check; minimum MAE per horizon,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,This small stability check did not trigger model reselection and cannot support broad generalization.
